net,wires
"(17,11)","[(11,11,0),(11,12,0),(11,13,0),(12,13,0),(13,13,0),(14,13,0),(15,13,0)]"
"(26,18)","[(16,9,0),(16,10,0),(16,11,0)]"
"(2,12)","[(6,15,0),(6,14,0),(6,13,0),(6,12,0),(5,12,0),(4,12,0),(3,12,0),(2,12,0)]"
"(33,3)","[(6,7,0),(6,8,0),(6,9,0),(6,10,0),(6,11,0),(6,12,0),(7,12,0),(7,13,0),(7,14,0),(7,15,0),(8,15,0),(9,15,0),(10,15,0)]"
"(2,21)","[(6,15,0),(6,16,0),(7,16,0),(8,16,0),(8,15,0),(8,14,0),(8,13,0),(8,12,0),(8,11,0),(8,10,0),(9,10,0),(10,10,0)]"
"(13,37)","[(8,12,0),(7,12,0),(7,11,0),(7,10,0),(7,9,0),(7,8,0),(7,7,0),(7,6,0),(7,5,0),(7,4,0),(6,4,0),(5,4,0),(4,4,0)]"
"(35,20)","[(12,5,0)]"
"(12,11)","[(2,12,0)]"
"(12,46)","[(2,12,0)]"
"(22,43)","[(12,10,0),(11,10,0),(11,9,0),(11,8,0),(11,7,0),(11,6,0),(11,5,0),(11,4,0),(11,3,0),(11,2,0),(10,2,0),(9,2,0),(8,2,0),(7,2,0),(6,2,0),(5,2,0),(4,2,0)]"
"(37,21)","[(4,4,0),(4,5,0),(4,6,0),(4,7,0),(4,8,0),(5,8,0),(6,8,0),(7,8,0),(8,8,0),(9,8,0),(10,8,0),(10,9,0),(10,10,0)]"
"(16,23)","[(10,11,0),(11,11,0),(12,11,0),(12,10,0),(13,10,0),(14,10,0),(15,10,0)]"
"(4,22)","[(15,15,0)]"
"(49,3)","[(13,1,0)]"
"(33,26)","[(6,7,0),(7,7,0),(7,7,1),(7,7,2),(6,7,2),(6,7,3),(7,7,3),(8,7,3),(8,6,3),(7,6,3),(7,6,4),(7,7,4),(7,8,4),(7,8,3),(6,8,3),(6,7,3),(5,7,3),(5,8,3),(5,8,4),(6,8,4),(6,9,4),(6,10,4),(6,10,3),(6,11,3),(6,11,4),(6,10,4),(5,10,4),(5,9,4),(5,8,4),(4,8,4),(4,8,5),(5,8,5),(5,7,5),(6,7,5),(6,6,5),(7,6,5),(7,6,6),(7,6,7),(8,6,7),(8,6,6),(8,7,6),(9,7,6),(9,7,7),(10,7,7),(11,7,7),(11,7,6),(11,6,6),(10,6,6),(9,6,6),(9,5,6),(9,5,5),(9,5,4),(9,6,4),(10,6,4),(11,6,4),(11,5,4),(11,5,5),(11,5,6),(12,5,6),(13,5,6),(13,4,6),(14,4,6),(14,5,6),(14,5,7),(13,5,7),(13,6,7),(13,6,6),(14,6,6),(14,7,6),(14,7,7),(15,7,7),(16,7,7),(17,7,7),(17,8,7),(17,8,6),(17,8,5),(17,8,4),(17,8,3),(17,8,2),(17,9,2),(17,10,2),(17,10,1),(16,10,1),(16,9,1),(16,9,0)]"
"(39,50)","[(10,4,0)]"
"(25,30)","[(13,9,0)]"
"(15,17)","[(4,11,0),(4,11,1),(5,11,1),(6,11,1),(7,11,1),(8,11,1),(9,11,1),(10,11,1),(11,11,1),(11,11,0)]"
"(1,4)","[(1,15,0)]"
"(31,8)","[(15,8,0),(15,9,0),(15,10,0),(15,11,0),(15,12,0),(15,12,1),(14,12,1),(14,13,1),(13,13,1),(12,13,1),(11,13,1),(10,13,1),(9,13,1),(8,13,1),(7,13,1),(6,13,1),(5,13,1),(4,13,1),(3,13,1),(2,13,1),(1,13,1),(1,13,0)]"
"(4,11)","[(15,15,0),(15,14,0),(15,13,0)]"
"(17,9)","[(11,11,0)]"
"(47,1)","[(8,1,0)]"
"(27,42)","[(6,8,0)]"
"(35,3)","[(12,5,0),(11,5,0),(10,5,0),(10,6,0),(10,7,0),(10,7,1),(10,8,1),(10,9,1),(10,10,1),(10,11,1),(10,12,1),(10,13,1),(10,14,1),(10,15,1),(10,15,0)]"
"(2,14)","[(6,15,0),(5,15,0),(5,16,0),(4,16,0),(3,16,0),(2,16,0),(2,15,0),(2,14,0),(2,13,0),(1,13,0),(1,12,0),(1,11,0)]"
"(26,7)","[(16,9,0),(17,9,0),(17,10,0),(17,11,0),(17,12,0),(17,13,0),(17,14,0),(16,14,0),(15,14,0),(14,14,0)]"
"(50,29)","[(16,1,0),(16,2,0),(16,3,0),(16,4,0),(16,5,0),(16,6,0),(15,6,0),(14,6,0),(13,6,0),(12,6,0),(11,6,0),(10,6,0),(9,6,0),(9,7,0),(9,8,0)]"
"(28,48)","[(7,8,0),(7,8,1),(7,7,1),(7,6,1),(7,5,1),(7,4,1),(7,3,1),(7,2,1),(7,1,1),(8,1,1),(9,1,1),(10,1,1),(11,1,1),(11,1,0)]"
"(4,15)","[(15,15,0)]"
"(41,48)","[(9,3,0),(9,2,0),(9,1,0),(9,0,0),(10,0,0),(11,0,0),(11,1,0)]"
"(15,44)","[(4,11,0),(4,10,0),(4,9,0),(5,9,0),(5,8,0),(5,7,0),(5,6,0),(5,5,0),(5,4,0),(5,3,0),(6,3,0),(6,2,0)]"
"(15,47)","[(4,11,0)]"
"(28,39)","[(7,8,0)]"
"(15,35)","[(4,11,0)]"
"(27,40)","[(6,8,0)]"
"(48,45)","[(11,1,0),(11,2,0),(11,2,1),(10,2,1),(9,2,1),(8,2,1),(7,2,1),(6,2,1),(6,1,1),(5,1,1),(4,1,1),(3,1,1),(2,1,1),(1,1,1),(1,1,0)]"
"(47,30)","[(8,1,0)]"
"(13,10)","[(8,12,0),(9,12,0),(9,13,0),(9,14,0),(9,14,1),(10,14,1),(11,14,1),(12,14,1),(12,13,1),(12,13,0)]"
"(50,13)","[(16,1,0),(16,1,1),(16,2,1),(16,3,1),(16,4,1),(16,5,1),(16,6,1),(16,7,1),(16,8,1),(16,9,1),(15,9,1),(14,9,1),(13,9,1),(12,9,1),(12,10,1),(11,10,1),(10,10,1),(9,10,1),(8,10,1),(8,11,1),(8,12,1),(8,12,0)]"
"(39,8)","[(10,4,0)]"
"(31,33)","[(15,8,0)]"
"(31,41)","[(15,8,0),(14,8,0),(14,7,0),(14,6,0),(14,5,0),(14,4,0),(14,3,0),(13,3,0),(12,3,0),(11,3,0),(10,3,0),(9,3,0)]"
"(14,46)","[(1,11,0)]"
"(6,42)","[(12,14,0)]"
"(30,38)","[(11,8,0)]"
"(46,39)","[(6,1,0),(7,1,0),(7,2,0),(7,3,0),(7,4,0),(8,4,0),(9,4,0),(10,4,0)]"
"(45,35)","[(1,1,0)]"
"(45,29)","[(1,1,0),(0,1,0),(0,2,0),(0,3,0),(0,4,0),(0,5,0),(0,6,0),(0,7,0),(0,8,0),(1,8,0),(2,8,0),(3,8,0),(4,8,0),(4,8,1),(5,8,1),(6,8,1),(7,8,1),(8,8,1),(9,8,1),(9,8,0)]"
"(23,45)","[(15,10,0)]"
"(44,32)","[(6,2,0)]"
"(49,35)","[(13,1,0),(13,0,0),(12,0,0),(12,1,0),(12,2,0),(12,3,0),(12,4,0),(12,5,0)]"
"(7,34)","[(14,14,0),(14,13,0),(14,12,0),(14,11,0),(14,10,0),(14,9,0),(13,9,0),(13,9,1),(13,8,1),(13,7,1),(13,6,1),(12,6,1),(11,6,1),(10,6,1),(9,6,1),(9,6,0)]"
"(34,8)","[(9,6,0)]"
"(2,38)","[(6,15,0),(7,15,0),(7,15,1),(7,14,1),(7,13,1),(7,12,1),(7,11,1),(7,10,1),(7,9,1),(7,8,1),(7,8,2),(7,7,2),(7,6,2),(7,5,2),(7,4,2),(7,4,1),(7,4,0)]"
"(6,18)","[(12,14,0),(12,13,0),(12,12,0),(12,11,0),(13,11,0),(14,11,0),(15,11,0),(16,11,0)]"
"(38,3)","[(7,4,0)]"
"(40,39)","[(15,4,0),(14,4,0),(13,4,0),(12,4,0),(11,4,0),(10,4,0)]"
"(28,37)","[(7,8,0)]"
"(19,43)","[(2,10,0),(3,10,0),(4,10,0),(4,10,1),(4,9,1),(4,8,1),(4,7,1),(4,6,1),(4,5,1),(4,4,1),(4,3,1),(4,2,1),(4,2,0)]"
"(18,36)","[(16,11,0),(16,11,1),(16,10,1),(15,10,1),(15,9,1),(15,8,1),(15,7,1),(15,6,1),(15,5,1),(15,4,1),(14,4,1),(13,4,1),(12,4,1),(11,4,1),(10,4,1),(9,4,1),(8,4,1),(7,4,1),(6,4,1),(5,4,1),(4,4,1),(3,4,1),(2,4,1),(2,4,0)]"
"(13,6)","[(8,12,0)]"
"(38,41)","[(7,4,0)]"
"(6,40)","[(12,14,0)]"
"(38,44)","[(7,4,0)]"
"(9,5)","[(6,13,0),(5,13,0),(4,13,0),(3,13,0),(3,14,0)]"
"(40,4)","[(15,4,0),(15,5,0),(15,6,0),(15,7,0),(15,7,1),(15,7,2),(15,8,2),(15,9,2),(15,10,2),(15,11,2),(15,12,2),(15,13,2),(15,14,2),(15,15,2),(15,16,2),(15,16,1),(15,16,0),(15,15,0)]"
"(34,32)","[(9,6,0)]"
"(22,34)","[(12,10,0)]"
"(1,40)","[(1,15,0),(1,15,1),(1,14,1),(1,13,1),(1,12,1),(1,11,1),(1,10,1),(1,9,1),(2,9,1),(3,9,1),(4,9,1),(5,9,1),(6,9,1),(7,9,1),(8,9,1),(9,9,1),(9,8,1),(10,8,1),(11,8,1),(11,7,1),(12,7,1),(12,6,1),(12,5,1),(13,5,1),(13,4,1),(13,3,1),(14,3,1),(15,3,1),(15,3,0),(15,4,0)]"
"chip_2_net_9,17894"
